tenor,aud,cad,chf,eur,gbp,jpy,nzd,sek,usd
3m,ADBB3M index,CDOR03 index,SF0003M index,EUR003M index,BP0003M index,JY0003M index,NDBB3M index,STIB3M index,us0003m index
6m,ADSWQF CMPL Curncy,CDOR06 index,SF0006M index,EUR006M index,BP0006M index,JY0006M index,NDBB6M index,STIB6M index,us0006m index
1y,ADSWAP1Q curncy,CDSW1 CMPN Curncy,SFSW1 CMPN Curncy,EUSA1 CMPN Curncy,BPSW1 CMPN Curncy,JYSWAP1  CMPN Curncy,NDSWAP1  CMPN Curncy,SKSW1 CMPN Curncy,USSWAP1 CMPN Curncy
2y,ADSWAP2Q curncy,CDSW2    CMPN Curncy,SFSW2    CMPN Curncy,EUSA2    CMPN Curncy,BPSW2    CMPN Curncy,JYSWAP2  CMPN Curncy,NDSWAP2  CMPN Curncy,SKSW2    CMPN Curncy,USSWAP2  CMPN Curncy
3y,ADSWAP3Q curncy,CDSW3    CMPN Curncy,SFSW3    CMPN Curncy,EUSA3    CMPN Curncy,BPSW3    CMPN Curncy,JYSWAP3  CMPN Curncy,NDSWAP3  CMPN Curncy,SKSW3    CMPN Curncy,USSWAP3  CMPN Curncy
4y,ADSWAP4Q curncy,CDSW4    CMPN Curncy,SFSW4    CMPN Curncy,EUSA4    CMPN Curncy,BPSW4    CMPN Curncy,JYSWAP4  CMPN Curncy,NDSWAP4  CMPN Curncy,SKSW4    CMPN Curncy,USSWAP4  CMPN Curncy
5y,ADSW5 curncy,CDSW5    CMPN Curncy,SFSW5    CMPN Curncy,EUSA5    CMPN Curncy,BPSW5    CMPN Curncy,JYSWAP5  CMPN Curncy,NDSWAP5  CMPN Curncy,SKSW5    CMPN Curncy,USSWAP5  CMPN Curncy
10y,ADSW10 curncy,CDSW10   CMPN Curncy,SFSW10   CMPN Curncy,EUSA10   CMPN Curncy,BPSW10   CMPN Curncy,JYSWAP10 CMPN Curncy,NDSWAP10 CMPN Curncy,SKSW10   CMPN Curncy,USSWAP10 CMPN Curncy
30y,ADSW30 curncy,CDSW30   CMPN Curncy,SFSW30   CMPN Curncy,EUSA30   CMPN Curncy,BPSW30   CMPN Curncy,JYSW30   CMPN Curncy,NDSWAP30 CMPN Curncy,SKSW30   CMPN Curncy,USSWAP30 CMPN Curncy
1y1y,ADFS0101 curncy,CDFS0101 BLC Curncy,SFFS0101 BLC Curncy,EUSA0101 BLC Curncy,BPSW0101 BLC Curncy,JYFS011  BLC Curncy,NDFS0101 BLC Curncy,SKFS0101 BLC Curncy,USFS011  BLC Curncy
1y2y,ADFS0102 curncy,CDFS0102 BLC Curncy,SFFS0102 BLC Curncy,EUSA0102 BLC Curncy,BPSW0102 BLC Curncy,JYFS012  BLC Curncy,NDFS0102 BLC Curncy,SKFS0102 BLC Curncy,USFS012  BLC Curncy
2y1y,ADFS0201 curncy,CDFS0201 BLC Curncy,SFFS0201 BLC Curncy,EUSA0201 BLC Curncy,BPSW0201 BLC Curncy,JYFS021  BLC Curncy,NDFS0201 BLC Curncy,SKFS0201 BLC Curncy,USFS021  BLC Curncy
2y2y,ADFS0202 curncy,CDFS0202 BLC Curncy,SFFS0202 BLC Curncy,EUSA0202 BLC Curncy,BPSW0202 BLC Curncy,JYFS022  BLC Curncy,NDFS0202 BLC Curncy,SKFS0202 BLC Curncy,USFS022  BLC Curncy
5y5y,ADFS0505 curncy,CDFS0505 BLC Curncy,SFFS0505 BLC Curncy,EUSA0505 BLC Curncy,BPSW0505 BLC Curncy,JYFS055  BLC Curncy,NDFS0505 BLC Curncy,SKFS0505 BLC Curncy,USFS055  BLC Curncy
10y10y,ADFS1010 curncy,CDFS1010 BLC Curncy,SFFS1010 BLC Curncy,EUSA1010 BLC Curncy,BPSW1010 BLC Curncy,JYFS1010 BLC Curncy,NDFS1010 BLC Curncy,SKFS1010 BLC Curncy,USFS1010 BLC Curncy
