,t2,aud,cad,chf,eur,gbp,jpy,nzd,sek,usd
0,1,4.41325,5.555,1.8209,4.0156,5.7573,0.01,5.7228,4.2412,5.3578
1,2,4.28575,5.161,1.775,3.674,5.51018,0.1325,5.44,3.9725,4.7683
2,3,4.15191,4.8199,1.7473,3.426,5.21805,0.2375,5.1425,3.7355,4.3827
3,4,4.10983,4.5316,1.7257,3.2742,4.9839,0.32125,4.9425,3.5555,4.163
4,5,4.1267,4.3333,1.7075,3.1833,4.79615,0.40375,4.825,3.4279,4.0331
5,6,4.1754,4.2271,1.7075,3.1311,4.64445,0.4925,4.75,3.3482,3.9545
6,7,4.23368,4.158,1.71,3.1006,4.52565,0.58375,4.7171,3.293,3.9005
7,8,4.28993,4.1238,1.715,3.0856,4.43615,0.66625,4.7009,3.2588,3.8642
8,9,4.33748,4.1021,1.725,3.0797,4.37098,0.74125,4.6947,3.2325,3.8412
9,10,4.37742,4.0756,1.735,3.0835,4.3262,0.8125,4.696,3.2155,3.8263
10,11,4.412373034376528,4.061728493783844,1.7452082686611476,3.0911806141734144,4.2926628206735025,0.8789080989614731,4.702020929650008,3.203589983434203,3.8184424947585622
11,12,4.44247443475054,4.062010700608183,1.7555102759086005,3.099376908193773,4.266573496706562,0.9404839780571931,4.7119192857606995,3.193979102601202,3.8158825061673434
12,13,4.467224317936288,4.0715086605406,1.765208148825479,3.1059928951274234,4.245972762402872,0.9978558076721763,4.725327177046385,3.1850232300510983,3.816391270196844
13,14,4.486122800748023,4.085284413648678,1.7736040144949052,3.108932588040716,4.228901352066121,1.0516517581914397,4.74187671222138,3.175078238333997,3.8177400228175626
14,15,4.49867,4.0984,1.78,3.1061,4.2134,1.1025,4.7612,3.1625,3.8177
15,16,4.504526505855568,4.106777084999984,1.7838777830401271,3.095999197649157,4.197864081993337,1.1507926111480107,4.782856776832968,3.146036662412569,3.8144379456082116
16,17,4.503994801874491,4.109775835405385,1.7854372437796175,3.0795344619421954,4.1821075397755,1.1959773003461758,4.806117290116664,3.126005472188599,3.8077026350804792
17,18,4.497537844965628,4.107616043310795,1.7850578129990442,3.058210127410655,4.166298956560994,1.237265683970335,4.830179414983874,3.1031159507583452,3.7976383517486414
18,19,4.485618592037844,4.100517500810803,1.7831189214789809,3.033530528586076,4.1506069155643255,1.2738693783963295,4.85424102656739,3.0780776195520607,3.7843893789445353
19,20,4.4687,4.0887,1.78,3.007,4.1352,1.305,4.8775,3.0516,3.7681
20,21,4.447361902201197,4.072483966216221,1.776040599178344,2.979916995229958,4.1201965313531534,1.3301514564464834,4.899284763018117,3.024352966915522,3.749017722808591
21,22,4.422651637751497,4.052592357770275,1.77142074897293,2.952756444037447,4.10551378419144,1.3499468205581044,4.919445953772646,2.996847808644403,3.7278029535107393
22,23,4.3957334222011974,4.0298487662162215,1.766280599178344,2.925787395229958,4.091018771353153,1.3652914564464833,4.937964763018117,2.969556166915522,3.705219322808591
23,24,4.367771471100599,4.005076783108111,1.7607602995891722,2.8992788976149786,4.076578505676577,1.3770907282232419,4.954822381509058,2.942949683457761,3.682030461404296
24,25,4.33993,3.9791,1.755,2.8735,4.06206,1.38625,4.97,2.9175,3.659
25,26,4.313136365339641,3.9526174501351337,1.7491198202464968,2.8486416214310126,4.047359472594054,1.393581563066055,4.983538571094565,2.8935458699253434,3.636733563157422
26,27,4.287370487119521,3.925829933513511,1.7431597603286624,2.824582161908017,4.032489963458739,1.3995254174214067,4.995718094792752,2.8708944932337914,3.615204750876563
27,28,4.262375426229581,3.8988136918243224,1.7371397902875798,2.801121891669515,4.0174937180263965,1.404428490243731,5.006878332943659,2.8492201815795677,3.5942291570169926
28,29,4.237894243559761,3.871644966756756,1.731079880164331,2.778061080954008,4.00241298172937,1.4086377087107034,5.017359047396376,2.8281972466168956,3.5736223754382817
29,30,4.21367,3.8444,1.725,2.7552,3.98729,1.4125,5.027499999999999,2.8075,3.5532
